geneid	ead_vs_wd_change	pckd_vs_ead_change	pckd_vs_wd_change
CR44171	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR45202	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44273	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR44292	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45134	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44339	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44366	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44370	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44380	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR43786	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44758	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44522	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR45233	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR32160	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44567	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43875	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45181	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR44932	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43252	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45053	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR31144	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR44137	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR43641	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
CR45600	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in Pc knockdown EAD than WD
CR45643	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR43196	enriched in WD (EAD depleted)	enriched in absence of Pc	higher in WD than Pc knockdown EAD
CR45048	enriched in WD (EAD depleted)	enriched in absence of Pc	ns
